id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;mileage;n_photos
757447327.html;25812;29125;;;5;19;4.6;42 reviews;1;32
765532215.html;12970;;;Great Deal;4.8;424;4.9;227 reviews;14,743;26
758214866.html;18995;;;Great Deal;4.8;1086;4.8;81 reviews;34,842;42
750463188.html;45829;49425;;;2.5;15;5;19 reviews;10;7
758214200.html;30995;;31995;Good Deal;4.8;1086;4.8;9 reviews;41,245;45
765157363.html;28995;;;Good Deal;4.8;1086;4.8;395 reviews;29,512;37
745260752.html;18975;22085;;;5;19;5;33 reviews;4;32
753572850.html;26006;27210;;;5;169;4.6;22 reviews;6;20
764867580.html;14883;;;Great Deal;5;99;4.3;206 reviews;34,111;28
741773994.html;18760;20510;;;4.6;262;4.6;29 reviews;23;14
760965459.html;14795;;;Great Deal;4.9;287;4.6;93 reviews;80,571;24
746713830.html;28125;32625;;;4.8;1125;4.9;316 reviews;;32
760232179.html;16160;17160;;;4.5;761;4.4;18 reviews;;32
760055659.html;45117;;;;4.2;45;;;7;32
755673691.html;13637;;;Good Deal;4.8;416;4.6;39 reviews;31,748;25
764633464.html;41995;;42495;Good Deal;4.8;1086;4.8;14 reviews;45,785;48
765905927.html;14990;;;Good Deal;5;17;4.6;108 reviews;111,522;27
755214281.html;22154;23495;;;5;68;4.7;42 reviews;3;11
761328940.html;25495;;;Great Deal;4.8;1086;4.2;12 reviews;37,698;40
766800025.html;41981;;;Great Deal;4.7;308;5;13 reviews;12,049;47
757571232.html;44285;44285;;;4.9;475;4.8;15 reviews;33;16
764163539.html;25395;;;;4.6;409;4.4;69 reviews;5;16
763471121.html;40755;40755;;;5;932;4.6;67 reviews;11;18
758214109.html;39495;;;Good Deal;4.8;1086;4.7;55 reviews;131;46
741833085.html;28043;33385;;;4.7;114;4.6;164 reviews;2;14
766709108.html;39499;49730;;;5;25;4.3;30 reviews;5;24
751920086.html;47842;47842;;;3.5;159;4.4;87 reviews;;15
757437340.html;20535;23495;;;4.6;262;4.7;34 reviews;14;15
764099739.html;24277;;;Great Deal;4.7;359;4.9;589 reviews;23,903;47
760613354.html;49505;49505;;;4.7;308;5;6 reviews;12;32
765905928.html;11990;;;Good Deal;5;17;4.8;75 reviews;137,563;27
759424308.html;20357;24235;;;4.7;114;4.4;17 reviews;9;15
764857745.html;17697;;;Good Deal;4.9;53;4.4;20 reviews;49,995;21
762427132.html;11997;;12997;Good Deal;4.8;68;4.4;48 reviews;90,597;32
761493576.html;11989;;;Good Deal;4.6;122;4.6;160 reviews;22,042;32
761306124.html;58795;58795;;;4.7;308;5;3 reviews;4;32
765690382.html;24994;;25994;Good Deal;4.8;1086;4.6;13 reviews;24,240;37
755731949.html;67734;77735;70740;;5;25;5;3 reviews;;11
749419186.html;30734;37460;;;5;23;5;32 reviews;9;15
